kepid,mass,radius,teff,bp_rp,e_bp_min_rp_interp,e_bp_min_rp_val,rrmscdpp04p5
9209451,0.786,0.80267876,5042.91,1.0387058,0.12327834554422624,0.008,277.564
9209497,0.856,0.82905465,4981.895,1.1510696,0.11819119873183977,0.143,194.102
9209511,0.588,1.1305321,4968.51,1.130599,0.11044560581536297,0.3645,90.835
9209624,0.824,1.022481,6113.75,0.7808275,0.10990045283123434,0.039,68.084
9215768,0.963,0.92930555,5353,1.0001879,0.17267124705672854,0.133,234.469
9215806,1.079,1.3721727,5766.25,0.8700876,0.3027139217341635,0.259,236.055
9215814,1.25,1.5107603,5898.5,0.79038143,0.11192839004573314,0.3447,57.02
9215818,0.938,1.6295379,5333.5,1.0025606,0.28190397759362806,0.434,220.458
9215839,0.861,0.8884015,5039.5166,1.1089611,0.09515571908718061,0.162,111.951
9215889,0.894,0.98290396,5082,1.0524826,0.07099532602542218,NaN,81.18
9221854,1.039,1.2399806,5374.5,0.972167,0.2192993132811836,0.285,202.11
9221980,1.079,1.0402951,5393.5,0.9690113,0.09780742796927293,0.095,89.455
9222051,1.187,1.2669983,5983,0.7555723,0.16066579838604794,0.15,75.08
9222064,0.865,1.1410061,5042.6,1.068367,0.1862050096512258,NaN,221.451
9222079,1.091,1.32168,5417.5,0.9262104,0.1875503822324635,0.25,146.147
9087853,0.92,1.0173405,5033,1.0814438,0.1757828430967872,0.187,255.757
9087979,0.828,0.8738532,5378,0.9539442,0.0689962986043359,0.0527,85.99
9088036,1.232,1.284316,5970.6665,0.7532234,0.15314708716616549,0.131,84.032
9088037,1.119,1.5450891,5353,0.94925976,0.2309348451883302,0.373,186.685
9088061,0.896,0.79639953,4913,1.1867342,0.15025267967941197,0.125,291.693
9088062,0.878,0.8779516,5323.5166,0.98974895,0.09310478508427698,0.061,122.148
9088101,1.077,0.9061311,5789.3335,0.8467903,0.13611714628288893,0.046,160.689
9093790,0.832,0.89289004,5382.3335,0.9747791,0.11008921177877717,0.0635,122.003
9093831,0.84,0.6306976,4966,1.2892942,0.16288620753741784,0.0415,240.809
9093859,0.875,0.80647916,4989,1.1296787,0.159238491915787,0.072,224.363
9093939,1.074,1.1348852,5793,0.83737564,0.14551554822645885,0.0843,136.997
9094062,0.98,1.4692273,6588.75,0.75481415,0.2204502700707427,0.6077,82.783
